sample_id,parent_id,copy_number_for_parent,length,folded_residue_count,disordered_residue_count,mutation_count,mutation_fraction,parent_identity,idr_unchanged,mutated_positions_1based,sequence_sha256
pos_train_seq28_hmm_aug001,pos_train_seq28,1,391,312,79,15,0.03836317135549872,0.9616368286445013,1,"19,66,79,162,163,185,218,268,282,293,298,303,305,315,318",da7398b6cb2482503cf85817e6cf03bcd8a2061dd5de45f0713c8ad2b54579a4
pos_train_seq29_hmm_aug001,pos_train_seq29,1,267,135,132,9,0.033707865168539325,0.9662921348314607,1,"86,91,106,125,147,151,156,163,171",5a5f288575a7f319847443591de02c83292fb62687c2be86651cdf08aab66127
pos_train_seq31_hmm_aug001,pos_train_seq31,1,388,18,370,2,0.005154639175257732,0.9948453608247423,1,"370,372",96a914de985d8ec75254cba7f92072ae7d665e31f83652a2437716a7901e7597
pos_train_seq32_hmm_aug001,pos_train_seq32,1,240,131,109,1,0.004166666666666667,0.9958333333333333,1,138,1da31df7d3108b838a5a6cd36799b9726611f0ca40e32004838299999e71e781
pos_train_seq33_hmm_aug001,pos_train_seq33,1,495,493,2,21,0.04242424242424243,0.9575757575757575,1,"8,25,27,75,89,160,178,231,272,279,292,300,387,436,440,451,454,472,478,484,494",af74f751f87ce42e1ba9bb564f0632396a47400a424cc5f25c8597a0e52bd9ea
pos_train_seq34_hmm_aug001,pos_train_seq34,1,357,189,168,5,0.014005602240896359,0.9859943977591037,1,"26,279,292,311,318",1d3f32751b235308887e7a4f96985b86470bbcd361105b0d50feeae690f168b1
pos_train_seq35_hmm_aug001,pos_train_seq35,1,214,135,79,5,0.02336448598130841,0.9766355140186916,1,"73,102,112,128,176",a1ea20482fc88cfa8ab5f9183773ba3e2667755fdbb6e972a687b1ff7f4884c9
pos_train_seq36_hmm_aug001,pos_train_seq36,1,412,405,7,17,0.0412621359223301,0.9587378640776699,1,"12,36,38,41,78,96,126,218,226,237,257,267,316,323,326,336,351",f2876bfbc330d10e0cc7345b9d6adb55d33537899f381a95128ac55139f57be4
pos_train_seq37_hmm_aug001,pos_train_seq37,1,213,94,119,6,0.028169014084507043,0.971830985915493,1,"39,40,60,62,161,213",7a2ec5629b087f102b76f1348e370eb092a29d93d5392854b9a4c468ff1bf8cd
pos_train_seq38_hmm_aug001,pos_train_seq38,1,352,148,204,7,0.019886363636363636,0.9801136363636364,1,"149,156,166,184,196,250,271",63f39bdeebebe74001299bbe1f0482bce3cf10cf01f098b66608947e9e2a7a37
pos_train_seq39_hmm_aug001,pos_train_seq39,1,328,108,220,5,0.01524390243902439,0.9847560975609756,1,"111,112,114,305,320",124bf00bc05e446832cccc83d722c063d236718e116b754fdfd6329075ee11c7
pos_train_seq42_hmm_aug001,pos_train_seq42,1,387,240,147,7,0.01808785529715762,0.9819121447028424,1,"22,42,47,67,155,172,198",c52418c89f9db0a33f6cf3a162f1c77a11b816049f1d6197a17185349cb10372
pos_train_seq44_hmm_aug001,pos_train_seq44,1,452,227,225,23,0.05088495575221239,0.9491150442477876,1,"233,250,262,283,297,305,320,327,345,347,356,360,371,388,390,394,396,397,417,432,441,446,451",186a095664d519ce3c601a9a75044f45481e9208a00554a0921f5543bc5f5126
pos_train_seq45_hmm_aug001,pos_train_seq45,1,429,252,177,7,0.016317016317016316,0.9836829836829837,1,"28,65,196,210,247,255,299",f8884785a1de049c18989f2eb44d4da7100e369e2aaba77064375a4cfdc1e91e
pos_train_seq46_hmm_aug001,pos_train_seq46,1,392,47,345,1,0.002551020408163265,0.9974489795918368,1,56,6fb5252d26a6eba2b25e61ddea606aa4be561325429e7ca04610a79665b4b879
pos_train_seq47_hmm_aug001,pos_train_seq47,1,127,126,1,5,0.03937007874015748,0.9606299212598425,1,"15,25,46,101,115",a8aa28ee08c565937a706fb376b1a5df1d5662aa54caa2bafc7253710ecc24b4
pos_train_seq50_hmm_aug001,pos_train_seq50,1,343,145,198,9,0.026239067055393587,0.9737609329446064,1,"207,223,274,278,291,295,301,305,309",687bbce4ae966f8319a378f0fe6d6d81a9e60f4f69c39ce55c601a9aede6745d
pos_train_seq51_hmm_aug001,pos_train_seq51,1,401,12,389,1,0.0024937655860349127,0.9975062344139651,1,315,6f9ea8ee98e47b46f8ce87cb45ec2f17cb1ccce413c619b5f2e6ba28cdaf6da0
pos_train_seq52_hmm_aug001,pos_train_seq52,1,175,37,138,1,0.005714285714285714,0.9942857142857143,1,146,15c99eb74c9e58352287f79fb349b4a3e832d594658c4fde370490c323acd9bd
pos_train_seq54_hmm_aug001,pos_train_seq54,1,376,282,94,13,0.034574468085106384,0.9654255319148937,1,"3,8,58,222,243,247,271,272,280,292,338,341,342",3cd0f29a063b64f1fb25ad82c359554d83677300e11443f7c66af938d4319743
pos_train_seq55_hmm_aug001,pos_train_seq55,1,393,186,207,11,0.027989821882951654,0.9720101781170484,1,"110,112,156,157,171,188,192,230,246,262,277",dfec9bc73839c8a1eb841456194407a86a704df3a9a8ab8fb3ef4315f07e8f77
pos_train_seq57_hmm_aug001,pos_train_seq57,1,246,35,211,3,0.012195121951219513,0.9878048780487805,1,"215,217,232",0ade8541cb51ffdb859237a75dc5e73deb63f7745d92d9a643f7c8cafaa81b55
pos_train_seq59_hmm_aug001,pos_train_seq59,1,185,137,48,7,0.03783783783783784,0.9621621621621621,1,"55,63,78,85,106,165,167",9f92669a30ee5157cf785ad1e2c41aae3aaeffd189cc8db6aa8e0545c13438c7
pos_train_seq60_hmm_aug001,pos_train_seq60,1,341,304,37,13,0.03812316715542522,0.9618768328445748,1,"13,49,85,101,106,147,186,205,212,262,279,289,304",1dfe9d74275918aa1179a44724721a0553fd7513cc8dfd612d8c4a04d42f32cf
pos_train_seq65_hmm_aug001,pos_train_seq65,1,341,271,70,12,0.03519061583577713,0.9648093841642229,1,"89,104,151,155,158,173,258,274,280,290,295,316",b5a732f27d769ac3409d845f0bfc005ec056580621b480be64c25ea8f6758639
pos_train_seq66_hmm_aug001,pos_train_seq66,1,481,468,13,15,0.031185031185031187,0.9688149688149688,1,"22,39,83,106,146,155,225,288,313,314,327,333,397,411,427",77a6dc1447fa7e9403a62dd664ecd56d6ad80b664c58cd34ec60a33fbb3ed811
pos_train_seq67_hmm_aug001,pos_train_seq67,1,326,314,12,10,0.03067484662576687,0.9693251533742331,1,"22,29,47,84,86,148,207,210,252,326",08ac4ea153ee105058b2721d5a4ff2b034e9578670da88422d7461baf83a57ec
pos_train_seq68_hmm_aug001,pos_train_seq68,1,341,228,113,6,0.017595307917888565,0.9824046920821115,1,"17,33,65,97,123,280",7a9c578850642a96847b250c87b7444b02ec8a383f84e3b01d09ed062dc37de8
pos_train_seq69_hmm_aug001,pos_train_seq69,1,394,379,15,16,0.04060913705583756,0.9593908629441624,1,"28,31,46,83,84,89,107,139,276,298,310,342,352,361,366,383",99ef16c8f19c7b0ad5effbaa4716992c06835c517fea46bb05a0336ff447f077
pos_train_seq70_hmm_aug001,pos_train_seq70,1,130,78,52,2,0.015384615384615385,0.9846153846153847,1,"57,105",debfda52cdf75a3d2c77307d6edf4499d8153cf9be97a40b14bfc81048a23eaf
pos_train_seq73_hmm_aug001,pos_train_seq73,1,201,191,10,11,0.05472636815920398,0.945273631840796,1,"56,65,81,102,121,124,134,135,144,156,177",56dc93483e7b7d7b5466b6e82e63b08c6b947b41545864a4d74c5137815e0d1a
pos_train_seq75_hmm_aug001,pos_train_seq75,1,501,173,328,6,0.011976047904191617,0.9880239520958084,1,"18,54,69,116,214,230",421e2e328f0dfe521224308f553902f99404d06f130bc493c2190462b9224dd7
pos_train_seq76_hmm_aug001,pos_train_seq76,1,183,123,60,6,0.03278688524590164,0.9672131147540983,1,"34,43,69,81,96,99",ffac170d46e642020b143d70500982717b98a3c1834e722726cca16d9ba3b560
pos_train_seq79_hmm_aug001,pos_train_seq79,1,178,157,21,6,0.033707865168539325,0.9662921348314607,1,"51,59,124,125,137,149",6c1890cebe45325a44612d8d5277aa57424e3d3410436b8339a63f5df6da1edb
pos_train_seq80_hmm_aug001,pos_train_seq80,1,427,281,146,12,0.02810304449648712,0.9718969555035128,1,"114,125,137,155,164,175,246,264,272,340,377,403",c425912411928c4880c32f5d4a472066c18680bbfa539a4d04ba3d6c08951117
pos_train_seq82_hmm_aug001,pos_train_seq82,1,479,466,13,20,0.04175365344467641,0.9582463465553236,1,"12,37,73,106,197,224,226,299,301,304,309,351,353,361,380,388,395,409,411,430",6c0beb3fb277968e16a3fb8c0a0be639cab24dc0448adbc602027f5c1178c66e
pos_train_seq86_hmm_aug001,pos_train_seq86,1,377,318,59,16,0.042440318302387266,0.9575596816976127,1,"34,100,102,144,180,195,203,209,210,234,242,261,274,309,315,355",e1c24bebd8cac6036bb96dd1bb27d065e9e4fc38426ac7ec9897a3def0945f3b
pos_train_seq87_hmm_aug001,pos_train_seq87,1,321,199,122,5,0.01557632398753894,0.9844236760124611,1,"128,149,166,183,245",6beea5ce17a660a60eefd3a9a2984bb97c2548e726dbecf2458f31b14df96af2
pos_train_seq89_hmm_aug001,pos_train_seq89,1,493,325,168,13,0.02636916835699797,0.973630831643002,1,"62,92,100,117,124,147,176,180,184,235,267,348,364",87fea03e01bb566ce209dc092983cc0e2be0c125823a431319f158a10576d6f3
pos_train_seq90_hmm_aug001,pos_train_seq90,1,435,229,206,14,0.03218390804597701,0.967816091954023,1,"124,223,236,241,247,251,289,317,326,341,351,388,408,418",e799ad15c4b81bb7bb57768e1845eb9294e7dfade10e526cbc62f37fd633b5f9
pos_train_seq91_hmm_aug001,pos_train_seq91,1,472,313,159,24,0.05084745762711865,0.9491525423728814,1,"14,20,61,78,105,115,116,119,144,174,179,181,191,285,290,294,302,305,308,331,339,349,352,370",e362c442f30b3976582c441535b632d35a11da562a6bbb25e73d3ec83bc6d899
pos_train_seq93_hmm_aug001,pos_train_seq93,1,316,127,189,8,0.02531645569620253,0.9746835443037974,1,"82,94,105,111,148,158,160,161",a1f3ae9a398eb23088fe3bb1223c776dd65f66fb2b2903978bb96c7c8603ac99
pos_train_seq94_hmm_aug001,pos_train_seq94,1,422,246,176,15,0.035545023696682464,0.9644549763033176,1,"42,51,55,63,83,101,117,119,143,154,158,210,360,391,406",ef88f2cd61b83ed9752ee729029132808b72534dd2f8b483624eeee7b52fdb35
pos_train_seq95_hmm_aug001,pos_train_seq95,1,341,168,173,5,0.01466275659824047,0.9853372434017595,1,"7,33,106,135,167",31b1a50ed9fbd19b711451d1a676e74ea18fc750c97d4b11211adc575ef67fb4
pos_train_seq96_hmm_aug001,pos_train_seq96,1,336,214,122,8,0.023809523809523808,0.9761904761904762,1,"42,79,104,109,140,273,284,319",6b347504b44ec3c8c1c39afe6f62aa019c1dc0d977624b479fd547c01ea9f30c
pos_train_seq97_hmm_aug001,pos_train_seq97,1,191,117,74,5,0.02617801047120419,0.9738219895287958,1,"31,50,70,138,140",633499215ea893a7a8448c53d4cb6de777350a68d48d9e105353d2cb63e8731f
pos_train_seq98_hmm_aug001,pos_train_seq98,1,178,107,71,2,0.011235955056179775,0.9887640449438202,1,"82,135",cf56c8f77d8d14248365632544b3e0715259af6ec8af706d847f58701e52f826
pos_train_seq99_hmm_aug001,pos_train_seq99,1,125,114,11,2,0.016,0.984,1,"95,101",45add5c52c23b5c3bdc3a3521583421ce75af2a741f9a890523a997bbcbdcd2f
pos_train_seq101_hmm_aug001,pos_train_seq101,1,297,210,87,14,0.04713804713804714,0.9528619528619529,1,"51,77,92,101,105,121,137,140,149,167,186,205,208,247",93976ae457f42e6150a05ec924c06c292061a6c260487f46cf1bcb4152397e75
pos_train_seq103_hmm_aug001,pos_train_seq103,1,426,256,170,9,0.02112676056338028,0.9788732394366197,1,"4,66,84,115,122,128,177,190,213",d3b5aa7168c12678a9abebb084e64f47aaa18b520c86d2bdf67032fca88ddda8
pos_train_seq104_hmm_aug001,pos_train_seq104,1,332,326,6,19,0.0572289156626506,0.9427710843373494,1,"9,21,45,65,77,78,83,94,120,139,143,211,222,223,244,281,285,313,332",4fe1a247fd633bf3ac053d2e0f523e7b38f623e355a2d2a84152736ba3542161
pos_train_seq105_hmm_aug001,pos_train_seq105,1,380,78,302,6,0.015789473684210527,0.9842105263157894,1,"286,293,298,301,307,323",45f491a5efbb0bb4e588ec5b4e76beb359c0ad6f0a5e69147524395922998e85
pos_train_seq106_hmm_aug001,pos_train_seq106,1,320,156,164,8,0.025,0.975,1,"28,46,95,145,164,165,171,182",7aea7b892fd93a2f265979114a5813334351de5e7d10c58cebd12c0ad9e4bf5b
pos_train_seq107_hmm_aug001,pos_train_seq107,1,219,162,57,2,0.0091324200913242,0.9908675799086758,1,"26,72",6704ae82d1ce82e16bc62d1591d51f8c0c3b8493e03c8aa198dec7c2f9adf7ff
pos_train_seq108_hmm_aug001,pos_train_seq108,1,189,181,8,10,0.05291005291005291,0.9470899470899471,1,"17,19,80,84,98,105,110,144,151,186",42e9f121cc347d03c6a3111a63addb82dff1b8e2aa16549adf7ad36c23f961f4
pos_train_seq109_hmm_aug001,pos_train_seq109,1,244,75,169,1,0.004098360655737705,0.9959016393442623,1,136,30ff106ebe99494025d76321356ebf0926e52b713ce52a4c0a68cfc5e6c6441e
pos_train_seq112_hmm_aug001,pos_train_seq112,1,194,36,158,2,0.010309278350515464,0.9896907216494846,1,"48,53",5dbaf7a701b0904f4f5a3f7fa4b644f3a717c40a421c3ff25c5b6513434723f3
pos_train_seq113_hmm_aug001,pos_train_seq113,1,427,344,83,19,0.04449648711943794,0.955503512880562,1,"14,30,33,41,44,76,89,189,195,214,233,237,239,256,297,324,349,358,402",58c6bdeadec600184f1c08d1b983bb8de0ab971c38f4593ece5cbbf60788ff65
pos_train_seq116_hmm_aug001,pos_train_seq116,1,272,267,5,15,0.05514705882352941,0.9448529411764706,1,"16,17,46,58,76,81,92,96,99,116,131,133,160,190,248",44cf7f8307c49f6840df40f8a69f39d3a89595d21217ce17dfba33d2cba14c96
pos_train_seq118_hmm_aug001,pos_train_seq118,1,339,177,162,11,0.032448377581120944,0.967551622418879,1,"189,216,223,256,257,260,274,275,309,313,319",acd5a13900339750bcad73ec73998fdaac7b00a185291d71c5b3ea6edf2cbb28
pos_train_seq119_hmm_aug001,pos_train_seq119,1,471,157,314,10,0.021231422505307854,0.9787685774946921,1,"72,79,129,130,134,154,202,204,212,223",7d7b2564decd10bac6963235bbd83c3b846e90b070aa9a9f6f2048cf6880c7e3
pos_train_seq121_hmm_aug001,pos_train_seq121,1,172,131,41,7,0.040697674418604654,0.9593023255813954,1,"36,77,103,129,140,141,150",d06c86ded8abc18813722e4b832232603b6f360cfcb741588faa69875a2d115e
pos_train_seq122_hmm_aug001,pos_train_seq122,1,175,157,18,8,0.045714285714285714,0.9542857142857143,1,"48,73,81,102,110,114,128,134",2e5dd33f71a440f6d790e8e33bb3371c4044af6efff6249abee3f17ed5e86fcb
pos_train_seq123_hmm_aug001,pos_train_seq123,1,175,37,138,2,0.011428571428571429,0.9885714285714285,1,"141,152",e158c45eb179084412f992941d8dc816d0aa7ef7f15e304b2cb6904b24dce06a
pos_train_seq124_hmm_aug001,pos_train_seq124,1,375,285,90,17,0.04533333333333334,0.9546666666666667,1,"25,44,82,112,130,146,161,172,208,210,213,229,233,260,261,293,301",ab4c05997f5833cf1e53e4c1edcbead97e9333e70c73fc83c3bd35bf64a9c185
pos_train_seq126_hmm_aug001,pos_train_seq126,1,196,188,8,7,0.03571428571428571,0.9642857142857143,1,"29,37,58,88,161,186,188",a8f0952decaf14c7f6a068b3fdb5e8042117276f95fb174458b19fffba166065
pos_train_seq127_hmm_aug001,pos_train_seq127,1,454,363,91,18,0.039647577092511016,0.960352422907489,1,"88,126,129,134,135,171,181,191,228,235,289,290,292,294,309,328,349,395",6e3b6dc1899775534bf1fc4a54e0627d6d578fbdd3d1a81a34b15bfcf423a9ca
pos_train_seq129_hmm_aug001,pos_train_seq129,1,385,19,366,1,0.0025974025974025974,0.9974025974025974,1,320,862a22a6075d8b01147df7d6fbb0d36533e3a13c192a634b8e58d97f682c4688
pos_train_seq130_hmm_aug001,pos_train_seq130,1,307,47,260,2,0.006514657980456026,0.993485342019544,1,"193,195",513075980fb7971df77826e1c259fd0b350a62a02b09d7eb42d9892ebfe7b8cd
pos_train_seq132_hmm_aug001,pos_train_seq132,1,241,59,182,2,0.008298755186721992,0.991701244813278,1,"173,185",777d3b423a6cf3c1146810ec0d3d7042dbb7586425eeacb9ad7be5e457a7fc86
pos_train_seq133_hmm_aug001,pos_train_seq133,1,284,83,201,7,0.02464788732394366,0.9753521126760564,1,"102,111,120,132,133,145,157",975892b61767a633cd703d168b2e5c435c7737ae05de30a50f2dac9dab08150b
pos_train_seq135_hmm_aug001,pos_train_seq135,1,185,73,112,1,0.005405405405405406,0.9945945945945946,1,146,39fda3affddaa359a4fe1ff5524c835cd8f4467c1b293a3bbb3e36952f5c3440
pos_train_seq137_hmm_aug001,pos_train_seq137,1,435,239,196,7,0.016091954022988506,0.9839080459770115,1,"65,112,175,203,205,215,435",725ef58eafb2631c14d4779be59c43c65bb4f111c3557e7c1884aae300103da9
pos_train_seq138_hmm_aug001,pos_train_seq138,1,452,88,364,4,0.008849557522123894,0.9911504424778761,1,"18,78,87,95",c405361662d3450fd5b01770073a185ddfed889cf09bc7672cf103ad1df1d02d
pos_train_seq139_hmm_aug001,pos_train_seq139,1,297,179,118,6,0.020202020202020204,0.9797979797979798,1,"83,121,128,244,276,285",e5c6b73188a77ab32947f771b5678a9e82cc103463634c14f06ea739adfa69eb
pos_train_seq140_hmm_aug001,pos_train_seq140,1,414,249,165,12,0.028985507246376812,0.9710144927536232,1,"17,58,61,110,111,127,133,141,145,184,190,198",d2181b339c59bb6e2f4564bcf1ea9e6f6e97dc4ec84aeb2cd6f16e9d5d108d6b
pos_train_seq143_hmm_aug001,pos_train_seq143,1,454,373,81,24,0.05286343612334802,0.947136563876652,1,"19,79,82,84,92,111,112,119,121,153,161,171,179,192,197,214,244,251,254,294,298,334,344,355",31edc44331a738b56b0ae6898ad57fbea637385b634fcfcf4ae5e0845fc41f2f
pos_train_seq144_hmm_aug001,pos_train_seq144,1,437,99,338,5,0.011441647597254004,0.988558352402746,1,"115,126,161,162,169",90697d3c0ff5a934049ea1debcce5c00a3286baa5825b8488e574e0446771f9d
pos_train_seq145_hmm_aug001,pos_train_seq145,1,441,4,437,1,0.0022675736961451248,0.9977324263038548,1,352,8ac4a58c523db3d32a7820fd6f6c0ae196852b37713751a3c42750923ac23898
pos_train_seq146_hmm_aug001,pos_train_seq146,1,196,39,157,2,0.01020408163265306,0.9897959183673469,1,"99,157",903ef621eda7d1aeb77afd1b5f36c14904017b55173a407df325250a2708316d
pos_train_seq148_hmm_aug001,pos_train_seq148,1,475,327,148,18,0.037894736842105266,0.9621052631578947,1,"168,172,175,179,180,186,187,218,229,237,246,268,320,335,353,370,382,463",3a25be7ab5e9c9602086ea3c61cd640063d4606c1440819fb03656c60544ad33
pos_train_seq151_hmm_aug001,pos_train_seq151,1,414,360,54,15,0.036231884057971016,0.9637681159420289,1,"23,73,102,139,150,167,184,204,230,233,255,339,341,370,405",c1f6d78fd08b1df4be4416c5bc5249d60dd5a8053caf85411445d9d6a3ae335e
pos_train_seq153_hmm_aug001,pos_train_seq153,1,163,75,88,2,0.012269938650306749,0.9877300613496932,1,"28,30",221c1a10a40fe12e9c3ffc88a260827f0985852c8f4d108f9021407b21fcf184
pos_train_seq155_hmm_aug001,pos_train_seq155,1,471,138,333,5,0.010615711252653927,0.9893842887473461,1,"24,46,47,153,158",152897d2357e8f2314cabc28cffe4e81c1e881a6f231283e0c50894be5fd4e20
pos_train_seq157_hmm_aug001,pos_train_seq157,1,268,245,23,11,0.041044776119402986,0.9589552238805971,1,"27,37,39,76,84,109,115,116,172,198,219",aedc4da9da346ab4996d7e78df705cabbad5e3599600211c1c0da5cabecbfa2f
pos_train_seq158_hmm_aug001,pos_train_seq158,1,214,189,25,8,0.037383177570093455,0.9626168224299065,1,"8,49,55,58,92,117,130,160",a7214ef07d2fa41ed8432df79f87c2bba741ecc90cbe0a4d242f302424e3a249
pos_train_seq160_hmm_aug001,pos_train_seq160,1,311,155,156,8,0.02572347266881029,0.9742765273311897,1,"67,97,104,120,136,157,169,173",995822fb98359579cfe5d7dff6cd7612139fe6c9fb0c4659eeadf913365c3c3b
pos_train_seq161_hmm_aug001,pos_train_seq161,1,501,84,417,4,0.007984031936127744,0.9920159680638723,1,"328,338,353,355",79a9e2f52d6fb24f1c308de82cadc04e24b251ed43a6e29e032b84ba7171e4e9
pos_train_seq163_hmm_aug001,pos_train_seq163,1,163,72,91,1,0.006134969325153374,0.9938650306748467,1,47,406bfa2288e640e2c99e242bae3d8d6aac10ec3a312e07496c02cfae530cf16b
pos_train_seq165_hmm_aug001,pos_train_seq165,1,457,403,54,17,0.037199124726477024,0.962800875273523,1,"21,79,108,136,140,179,181,199,256,299,300,326,331,336,353,355,419",eba6adcd29211bdcc609bdb43e3ca87c1749ada836a1f6d6876fbae5be66265d
pos_train_seq166_hmm_aug001,pos_train_seq166,1,178,165,13,10,0.056179775280898875,0.9438202247191011,1,"18,21,69,102,114,115,132,145,147,173",32ea054175ce067c6e04d7f403e09ef53eb5c03829b11adea6123f1bae778b3e
pos_train_seq169_hmm_aug001,pos_train_seq169,1,130,23,107,1,0.007692307692307693,0.9923076923076923,1,69,4bcc036dfc083a3a0fa509064fc7376e0acd595506e4530fdc30877b2466d133
pos_train_seq171_hmm_aug001,pos_train_seq171,1,69,5,64,1,0.014492753623188406,0.9855072463768116,1,39,0e301579fdbfbe501f23dca1ddfe02907ac50118cedac084ea170e9a82a89127
pos_train_seq173_hmm_aug001,pos_train_seq173,1,431,258,173,15,0.03480278422273782,0.9651972157772621,1,"1,8,12,44,50,57,59,113,117,138,199,219,240,242,256",6b5598960dd4ce1b15d744b3c5a4761f074e384bcd9d8c42c68dfeb53e5d14e0
pos_train_seq174_hmm_aug001,pos_train_seq174,1,453,50,403,3,0.006622516556291391,0.9933774834437086,1,"15,38,107",fb838511d6bc2940bf149f488048dc82824b2ba2a5ed09217a93989800ccb7f2
pos_train_seq176_hmm_aug001,pos_train_seq176,1,175,37,138,4,0.022857142857142857,0.9771428571428571,1,"139,142,153,155",8312d8b0ab8d948aa40f1b3a578bc25fc69e3ce4c42cbf2de954832a08458ac4
pos_train_seq178_hmm_aug001,pos_train_seq178,1,321,1,320,1,0.003115264797507788,0.9968847352024922,1,321,79d385bfba21d0907bdac0a0bd14767f1da5c58540fd80ce68780c17aa2eb4a3
pos_train_seq179_hmm_aug001,pos_train_seq179,1,134,7,127,1,0.007462686567164179,0.9925373134328358,1,26,eff7b9a1ac2e8d017fae04dd6eda37d0d97f6d73033a9c626356a1ac2d663cd9
pos_train_seq180_hmm_aug001,pos_train_seq180,1,405,23,382,1,0.0024691358024691358,0.9975308641975309,1,32,61ba161c5ad60e818a1cb7aad96c7a3401a0fe86dff8f7d8ef4b193c2bff0f2a
pos_train_seq181_hmm_aug001,pos_train_seq181,1,175,36,139,2,0.011428571428571429,0.9885714285714285,1,"133,139",b3bdcac409a20a63b7b0de776940c3e2bffb809ed6609cc68c4bd5eb76cc77a2
pos_train_seq183_hmm_aug001,pos_train_seq183,1,412,411,1,21,0.050970873786407765,0.9490291262135923,1,"47,97,98,166,181,201,215,219,238,257,272,286,296,306,310,312,329,348,351,377,405",08a49d33566ea0e8a27157901ec80737d666ad921a4aa2e14c560581f0214c2d
pos_train_seq184_hmm_aug001,pos_train_seq184,1,158,145,13,4,0.02531645569620253,0.9746835443037974,1,"26,53,124,141",02cce4651c92717465b4270ff6636f15d1f493035634f0e6d8d979f7c5c2d317
pos_train_seq185_hmm_aug001,pos_train_seq185,1,494,236,258,15,0.030364372469635626,0.9696356275303644,1,"5,43,57,70,83,106,108,111,112,119,136,153,185,188,210",87d8b366e7f4ad99064a29c29efe956b4f70b46bfd2d5432c9724e90d203c445
